DFW data by course for Spring 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highlighted courses mean enrollment per term >= 20 and DFW rate >= 20% (red) or between 15% and 20% (yellow).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,DFW Rate,,,,,,,,,,,,,,,,"DFW equity gap (in percentage points)
compared to Female, Not Pell, White, Non-URM, and Not first generation, respectively.
Positive equity gap means the given group has a higher DFW rate than the comparison group",,,,,,,,,,Each group's percent of total course enrollment,,,,,,,,,,,,,
ALS,Art,ART,ART 183,Advanced Sculpture,Upper,3,4,,0.0%,0.0%,,0.0%,0.0%,,,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0,,,0.0,,,0.0,0.0,0.0,100.0%,,75.0%,,,25.0%,,,25.0%,50.0%,75.0%,25.0%,25.0%,
ALS,Art,ART,ART 187,Installatn & Performnc Art,Upper,3,13,,0.0%,0.0%,,0.0%,0.0%,,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0,,0.0,0.0,,,0.0,0.0,0.0,100.0%,,69.2%,,15.4%,53.8%,,,7.7%,23.1%,46.2%,53.8%,30.8%,
ALS,Art,ART,ART 189,Sculpture Studio,Upper,3,1,,0.0%,0.0%,,0.0%,,,,,,,,0.0%,0.0%,,,0.0%,,,,,,,,,,,100.0%,,,,,,,,,100.0%,100.0%,,,
ALS,Art,ART,ART 192A,Senior Seminar Studio Art,Upper,3,12,,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,75.0%,25.0%,75.0%,,25.0%,8.3%,,,8.3%,50.0%,91.7%,8.3%,8.3%,
ALS,Art,ART,ART 194,BFA Senior Project,Upper,3,10,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,0.0,0.0,,,,0.0,0.0,80.0%,20.0%,70.0%,,20.0%,10.0%,,,,60.0%,90.0%,10.0%,10.0%,
ALS,Art,ART,ART 198,Advanced Electronic Art,Upper,3,6,,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,,,,,,0.0,0.0,33.3%,66.7%,50.0%,,16.7%,33.3%,,,33.3%,,66.7%,33.3%,50.0%,
ALS,Art,ART,ART 199,Special Problems,Upper,1.6,7,,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,71.4%,28.6%,71.4%,,14.3%,28.6%,,,14.3%,42.9%,71.4%,28.6%,28.6%,
ALS,Communication Studies,COMS,COMS 103,Presentatnl Speak Organiz,Upper,3,11,0.0%,0.0%,,0.0%,,0.0%,0.0%,0.0%,0.0%,,,,,0.0%,0.0%,0.0%,0.0%,,,,,,,,,0.0,0.0,,100.0%,100.0%,45.5%,18.2%,36.4%,,,,,18.2%,81.8%,54.5%,
ALS,Communication Studies,COMS,COMS 111,Debate Research Practicum,Upper,3,7,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,,0.0,,,,0.0,0.0,57.1%,42.9%,42.9%,14.3%,,28.6%,,,,42.9%,57.1%,42.9%,28.6%,
ALS,Communication Studies,COMS,COMS 130/FILM 130,Staging+Lght Digtl Video,Upper,3,23,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,21.7%,78.3%,30.4%,8.7%,13.0%,26.1%,,,4.3%,43.5%,65.2%,34.8%,17.4%,
ALS,Communication Studies,COMS,COMS 161,Health Communication,Upper,3,40,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,65.0%,35.0%,37.5%,5.0%,12.5%,32.5%,,2.5%,12.5%,27.5%,60.0%,40.0%,32.5%,
ALS,Communication Studies,COMS,COMS 164,Visual Communication,Upper,3,50,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,64.0%,36.0%,46.0%,6.0%,14.0%,36.0%,,2.0%,10.0%,30.0%,56.0%,44.0%,22.0%,
ALS,Communication Studies,COMS,COMS 180,Senior Sem Organiztn+Comm,Upper,3,52,3.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,46.2%,53.8%,42.3%,7.7%,13.5%,23.1%,,,9.6%,38.5%,69.2%,30.8%,25.0%,
ALS,Communication Studies,COMS,COMS 183,Senior Sem in Media Issues,Upper,3,19,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,73.7%,26.3%,52.6%,10.5%,,26.3%,,,5.3%,42.1%,63.2%,36.8%,21.1%,
ALS,Communication Studies,COMS,COMS 185/FILM 185,Senior Practicum Video Product,Upper,3,30,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,33.3%,66.7%,50.0%,10.0%,6.7%,50.0%,,,10.0%,13.3%,40.0%,60.0%,30.0%,
ALS,Communication Studies,JOUR,JOUR 125,Multimedia Storytelling,Upper,3,15,6.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,53.3%,46.7%,46.7%,6.7%,,40.0%,,,13.3%,33.3%,53.3%,46.7%,33.3%,
ALS,Communication Studies,JOUR,JOUR 135,Public Affairs Reporting,Upper,3,25,4.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,64.0%,36.0%,32.0%,16.0%,4.0%,24.0%,,,12.0%,40.0%,60.0%,40.0%,24.0%,
ALS,Communication Studies,JOUR,COMS 194/JOUR 194,Jour-Related Work Exper,Upper,3.3,3,0.0%,0.0%,0.0%,,0.0%,,,,,,,,0.0%,0.0%,,,0.0%,,,,,,,,,,,100.0%,,,,,,,,,100.0%,100.0%,,,
ALS,Communication Studies,JOUR,COMS 195/JOUR 195,Internship In Journalism,Upper,3,20,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,60.0%,40.0%,50.0%,10.0%,5.0%,35.0%,,,5.0%,40.0%,55.0%,45.0%,15.0%,
ALS,Communication Studies,JOUR,JOUR 199,Special Problems,Upper,3,7,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,,,,,,0.0,0.0,14.3%,85.7%,42.9%,28.6%,14.3%,42.9%,,,,,28.6%,71.4%,28.6%,
ALS,Department of Design,GPHD,GPHD 130,Typography II,Upper,5,42,2.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,52.4%,47.6%,47.6%,4.8%,21.4%,21.4%,,2.4%,16.7%,26.2%,71.4%,28.6%,31.0%,
ALS,Department of Design,GPHD,GPHD 135,User Interface Design,Upper,5,42,2.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,52.4%,47.6%,47.6%,4.8%,21.4%,21.4%,,2.4%,16.7%,26.2%,71.4%,28.6%,31.0%,
ALS,Department of Design,GPHD,GPHD 150,Professional Practice,Upper,5,39,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,69.2%,30.8%,61.5%,2.6%,10.3%,20.5%,,,17.9%,43.6%,76.9%,23.1%,15.4%,
ALS,Department of Design,GPHD,GPHD 155,Graphic Design Systems II,Upper,5,39,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,69.2%,30.8%,61.5%,2.6%,10.3%,20.5%,,,17.9%,43.6%,76.9%,23.1%,15.4%,
ALS,Department of Design,GPHD,GPHD 195,Internship,Upper,3,8,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,62.5%,37.5%,75.0%,12.5%,25.0%,25.0%,,,25.0%,12.5%,62.5%,37.5%,,
ALS,Department of Design,GPHD,GPHD 199,Special Problems,Upper,2.3,2,,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,0.0%,0.0%,,0.0%,0.0%,0.0,0.0,,,,,,,,0.0,50.0%,50.0%,50.0%,,,,,,,50.0%,100.0%,,50.0%,
ALS,Department of Design,INTD,INTD 161,Interior Dsgn Graphics II,Upper,3,39,2.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,84.6%,15.4%,53.8%,2.6%,17.9%,33.3%,,,5.1%,38.5%,64.1%,35.9%,28.2%,
ALS,Department of Design,INTD,INTD 163,Interior Architecture Studio 2,Upper,5,38,2.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,86.8%,13.2%,52.6%,2.6%,15.8%,34.2%,,,5.3%,39.5%,63.2%,36.8%,26.3%,
ALS,Department of Design,INTD,INTD 165,Professional Practice II,Upper,3,44,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,84.1%,15.9%,59.1%,,22.7%,36.4%,,,4.5%,34.1%,63.6%,36.4%,31.8%,
ALS,Department of Design,INTD,INTD 173,Interior Architecture Studio 3,Upper,5,14,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,85.7%,14.3%,50.0%,7.1%,35.7%,14.3%,,,,35.7%,78.6%,21.4%,35.7%,
ALS,Department of Design,INTD,INTD 183,Interior Architecture Studio 4,Upper,5,19,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,0.0,0.0,,,,0.0,0.0,84.2%,15.8%,36.8%,,10.5%,63.2%,,,,26.3%,36.8%,63.2%,52.6%,
ALS,Department of Design,INTD,INTD 196,Professional Prepararation,Upper,3,32,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,84.4%,15.6%,43.8%,3.1%,21.9%,43.8%,,,,31.3%,53.1%,46.9%,43.8%,
ALS,Department of Design,PHOT,PHOT 40,Darkroom Photography,Lower,3,34,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,67.6%,32.4%,52.9%,5.9%,14.7%,32.4%,,,14.7%,26.5%,61.8%,38.2%,35.3%,
ALS,Department of Design,PHOT,PHOT 141,Intermediate Darkroom Photo.,Upper,3,15,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,53.3%,46.7%,46.7%,6.7%,6.7%,40.0%,,,13.3%,26.7%,53.3%,46.7%,20.0%,
ALS,Department of Design,PHOT,PHOT 180,Senior Portfolio,Upper,5,29,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,65.5%,34.5%,51.7%,3.4%,6.9%,34.5%,,,6.9%,37.9%,62.1%,37.9%,24.1%,
ALS,English,ENGL,ENGL 120P,Professional Writing,Upper,4,27,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,77.8%,22.2%,37.0%,7.4%,7.4%,22.2%,,,11.1%,44.4%,70.4%,29.6%,25.9%,
ALS,English,ENGL,ENGL 130A,Intermediate Fiction Writing,Upper,4,29,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,62.1%,37.9%,41.4%,10.3%,13.8%,48.3%,,,6.9%,20.7%,41.4%,58.6%,31.0%,
ALS,English,ENGL,ENGL 130F,Writing For Television,Upper,4,29,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,41.4%,58.6%,41.4%,6.9%,10.3%,41.4%,,,10.3%,24.1%,51.7%,48.3%,27.6%,
ALS,English,ENGL,ENGL 145B,Shakespeare-Early Plays,Upper,4,40,5.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,62.5%,37.5%,40.0%,,5.0%,42.5%,,,10.0%,32.5%,57.5%,42.5%,35.0%,
ALS,English,ENGL,ENGL 180B,Forms African-Am Fiction,Upper,4,25,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,64.0%,36.0%,32.0%,12.0%,16.0%,28.0%,,,12.0%,28.0%,60.0%,40.0%,24.0%,
ALS,English,ENGL,ENGL 199,Special Problems,Upper,2,2,,0.0%,0.0%,,0.0%,0.0%,,,,,,,0.0%,0.0%,,0.0%,0.0%,,0.0,,,,,,,,0.0,100.0%,,50.0%,,,,,,,100.0%,100.0%,,50.0%,
ALS,History,HIST,HIST 15H,Major Problems in U.S. History,Lower,3,25,4.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,84.0%,16.0%,32.0%,4.0%,20.0%,20.0%,,4.0%,16.0%,32.0%,72.0%,28.0%,16.0%,
ALS,History,HIST,HIST 127/HRS 127,Christianity Since Reform,Upper,3,21,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,,0.0,,,0.0,0.0,0.0,33.3%,66.7%,47.6%,,,28.6%,,,4.8%,61.9%,71.4%,28.6%,19.0%,
ALS,History,HIST,HIST 186A,The California Gold Rush,Upper,3,24,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,8.3%,91.7%,37.5%,4.2%,8.3%,12.5%,,,4.2%,58.3%,83.3%,16.7%,25.0%,
ALS,History,HIST,HIST 190,Clio Student History Journal,Upper,3,4,,0.0%,0.0%,0.0%,0.0%,,,,0.0%,,,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0,,,,0.0,,,0.0,0.0,,25.0%,75.0%,,,,25.0%,,,25.0%,25.0%,75.0%,25.0%,,
ALS,History,HIST,HIST 191,Sem Hist Interpretation,Upper,3,17,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,47.1%,52.9%,70.6%,,11.8%,35.3%,,,5.9%,47.1%,64.7%,35.3%,29.4%,
ALS,History,HIST,HIST 195A,History Internship,Upper,3,1,0.0%,0.0%,,0.0%,0.0%,,,,,,,,0.0%,0.0%,,,0.0%,,,,,,,,,,,,100.0%,,,,,,,,100.0%,100.0%,,,
ALS,History,HIST,HIST 199,Special Problems,Upper,2.6,6,,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0,0.0,,0.0,0.0,,,0.0,0.0,,50.0%,50.0%,50.0%,,16.7%,33.3%,,,16.7%,33.3%,66.7%,33.3%,,
ALS,Humanities and Religious Studies,HRS,HRS 80,Introduction to Film,Lower,3,51,2.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,56.9%,43.1%,39.2%,7.8%,31.4%,23.5%,,,5.9%,23.5%,68.6%,31.4%,23.5%,
ALS,Humanities and Religious Studies,HRS,HRS 168,Images Of America,Upper,3,37,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,56.8%,43.2%,40.5%,,16.2%,27.0%,,,8.1%,37.8%,73.0%,27.0%,18.9%,
ALS,Humanities and Religious Studies,HRS,HRS 199,Special Problems,Upper,2.3,1,,0.0%,0.0%,,0.0%,,,,,,,,0.0%,0.0%,,,0.0%,,,,,,,,,,,100.0%,,,,,,,,,100.0%,100.0%,,,
ALS,Letters & Arts,ALS,ALS 55A,Acad Strategies-HHS:CRJ 1,Lower,1,7,,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,,0.0,,,,0.0,0.0,57.1%,42.9%,42.9%,,,28.6%,,,,57.1%,71.4%,28.6%,28.6%,
ALS,Letters & Arts,ALS,ALS 57A,Acad Strategies-SSIS: Econ 1A,Lower,1,9,,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,,,,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,,,,,,0.0,0.0,55.6%,44.4%,77.8%,,33.3%,66.7%,,,,,33.3%,66.7%,55.6%,
ALS,Music,MUSC,MUSC 25,Voice For Music Theater,Lower,1,4,,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,0.0%,,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,,0.0,0.0,0.0,,,,0.0,0.0,75.0%,25.0%,,25.0%,25.0%,25.0%,,,,25.0%,50.0%,50.0%,25.0%,
ALS,Music,MUSC,MUSC 32A,Piano: Inter-BA,Lower,1,9,,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,,0.0,,,0.0,0.0,0.0,44.4%,55.6%,55.6%,,,11.1%,,,22.2%,66.7%,88.9%,11.1%,11.1%,
ALS,Music,MUSC,MUSC 32B,Piano: Inter-BM,Lower,1,4,,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,,,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0,0.0,,,0.0,,,0.0,0.0,,25.0%,75.0%,75.0%,,,25.0%,,,25.0%,50.0%,75.0%,25.0%,,
