DFW data by course for Fall 2020 - Spring 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highlighted courses mean enrollment per term >= 20 and DFW rate >= 20% (red) or between 15% and 20% (yellow).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,% of enrolled students who are repeating,,DFW Rate,,,,,,,,,,,,,,,,"DFW equity gap (in percentage points)
compared to Female, Not Pell, White, Non-URM, and Not first generation, respectively.
Positive equity gap means the given group has a higher DFW rate than the comparison group",,,,,,,,,,Each group's percent of total course enrollment,,,,,,,,,,,,,
ALS,Art,ART,ART 20A,Beginning Drawing,Lower,3,4,339,85,1.1%,0.6%,6.2%,4.6%,9.1%,7.3%,5.3%,7.4%,2.7%,8.5%,,0.0%,4.3%,6.2%,4.5%,8.1%,3.1%,8.0%,4.5,-2.0,1.3,-3.4,2.3,,-6.2,-1.8,3.7,-5.0,64.3%,35.7%,55.5%,8.0%,21.5%,38.3%,,0.9%,6.8%,19.2%,52.8%,47.2%,38.3%,
ALS,Art,ART,ART 20B,Intermediate Drawing,Lower,3,4,135,34,1.8%,5.0%,10.4%,12.1%,6.8%,14.9%,8.0%,20.0%,9.1%,15.0%,0.0%,0.0%,9.1%,3.2%,5.9%,14.9%,11.9%,10.2%,-5.3,-6.9,16.8,5.9,11.8,-3.2,-3.2,5.9,9.0,1.7,67.4%,32.6%,65.2%,3.7%,16.3%,44.4%,0.7%,0.7%,8.1%,23.0%,50.4%,49.6%,31.1%,
ALS,Art,ART,ART 22,Beginning Painting,Lower,3,4,88,22,,,2.3%,1.8%,3.1%,2.8%,1.9%,0.0%,0.0%,3.4%,,,12.5%,0.0%,1.8%,3.0%,0.0%,1.7%,1.3,-0.9,0.0,0.0,3.4,,,12.5,1.2,-1.7,63.6%,36.4%,59.1%,4.5%,27.3%,33.0%,,,9.1%,19.3%,62.5%,37.5%,29.5%,
ALS,Art,ART,ART 40,Beginning Printmaking,Lower,3,4,54,14,3.0%,0.0%,11.1%,10.3%,12.0%,11.5%,10.7%,14.3%,12.5%,13.3%,,,12.5%,7.1%,9.4%,13.6%,25.0%,7.3%,1.7,-0.8,7.1,5.4,6.2,,,5.4,4.3,17.7,53.7%,46.3%,51.9%,13.0%,14.8%,27.8%,,,14.8%,25.9%,59.3%,40.7%,22.2%,
ALS,Art,ART,ART 50,Beginning Ceramics,Lower,3,4,117,29,,,11.1%,8.0%,20.0%,22.2%,1.6%,40.0%,5.0%,0.0%,,,25.0%,13.9%,16.2%,4.1%,7.5%,13.2%,12.0,-20.6,26.1,-8.9,-13.9,,,11.1,-12.1,-5.7,74.4%,25.6%,53.8%,4.3%,17.1%,37.6%,,,6.8%,30.8%,58.1%,41.9%,34.2%,
ALS,Art,ART,ART 53,Beg Hand-Built Ceramics,Lower,3,4,99,25,,,4.0%,2.8%,7.1%,2.4%,5.3%,100.0%,0.0%,5.3%,,0.0%,0.0%,0.0%,1.7%,7.3%,2.9%,3.2%,4.3,2.9,100.0,0.0,5.3,,0.0,0.0,5.6,-0.2,71.7%,28.3%,57.6%,1.0%,12.1%,38.4%,,2.0%,9.1%,30.3%,58.6%,41.4%,34.3%,
ALS,Art,ART,ART 60,2-Dimensional Composition,Lower,3,3,65,22,0.0%,0.0%,10.8%,13.5%,7.1%,4.2%,14.6%,20.0%,10.0%,11.1%,0.0%,0.0%,40.0%,0.0%,9.7%,11.8%,16.7%,8.7%,-6.4,10.5,20.0,10.0,11.1,0.0,0.0,40.0,2.1,8.0,56.9%,43.1%,63.1%,7.7%,15.4%,41.5%,1.5%,1.5%,7.7%,16.9%,47.7%,52.3%,27.7%,
ALS,Art,ART,ART 70,"Form, Space Vision",Lower,3,4,74,19,6.3%,2.4%,14.9%,6.1%,22.0%,16.7%,13.2%,20.0%,16.7%,23.1%,0.0%,,12.5%,7.7%,9.5%,21.9%,13.6%,15.6%,15.9,-3.5,12.3,9.0,15.4,-7.7,,4.8,12.4,-1.9,44.6%,55.4%,51.4%,6.8%,16.2%,35.1%,1.4%,,10.8%,17.6%,56.8%,43.2%,29.7%,
ALS,Art,ART,ART 86,Clay Sculpture,Lower,3,2,34,17,0.0%,,2.9%,4.8%,0.0%,6.3%,0.0%,0.0%,0.0%,0.0%,,,0.0%,7.7%,4.5%,0.0%,0.0%,5.0%,-4.8,-6.3,-7.7,-7.7,-7.7,,,-7.7,-4.5,-5.0,61.8%,38.2%,52.9%,2.9%,17.6%,32.4%,,,2.9%,38.2%,64.7%,35.3%,35.3%,
ALS,Art,ART,ART 88,Beginning Sculpture,Lower,3,4,70,18,,,5.7%,7.4%,0.0%,5.9%,5.6%,0.0%,0.0%,3.1%,,100.0%,0.0%,6.7%,5.7%,5.7%,3.2%,5.6%,-7.4,-0.3,-6.7,-6.7,-3.5,,93.3,-6.7,0.0,-2.3,77.1%,22.9%,51.4%,2.9%,12.9%,45.7%,,1.4%,4.3%,21.4%,50.0%,50.0%,44.3%,
ALS,Art,ART,ART 97,Beginning Electronic Art,Lower,3,4,267,67,1.3%,4.5%,17.2%,13.9%,21.6%,16.7%,17.8%,41.7%,25.4%,13.9%,0.0%,0.0%,4.3%,13.6%,15.8%,19.3%,14.3%,17.4%,7.6,1.1,28.1,11.9,0.4,-13.6,-13.6,-9.2,3.4,-3.2,56.6%,43.4%,50.6%,9.0%,22.1%,29.6%,1.1%,1.1%,8.6%,22.1%,59.2%,40.8%,23.6%,
ALS,Art,ART,ART 100,Origins Amer Indian Art,Upper,3,1,28,28,0.0%,,14.3%,11.8%,18.2%,15.4%,13.3%,40.0%,0.0%,11.1%,0.0%,0.0%,0.0%,0.0%,8.3%,18.8%,18.2%,11.8%,6.4,-2.1,40.0,0.0,11.1,0.0,0.0,0.0,10.4,6.4,60.7%,39.3%,53.6%,17.9%,7.1%,32.1%,3.6%,3.6%,3.6%,21.4%,42.9%,57.1%,39.3%,
ALS,Art,ART,ART 102,World Art and Visual Culture,Upper,3,2,59,30,1.7%,,8.5%,10.7%,6.5%,7.1%,9.7%,50.0%,11.8%,7.1%,,0.0%,0.0%,5.3%,7.1%,11.8%,14.3%,5.4%,-4.3,2.5,44.7,6.5,1.9,,-5.3,-5.3,4.6,8.9,47.5%,52.5%,52.5%,3.4%,28.8%,23.7%,,1.7%,5.1%,32.2%,71.2%,28.8%,35.6%,
ALS,Art,ART,ART 103,Art of Ancient Mediterranean,Upper,3,1,15,15,0.0%,,13.3%,7.1%,100.0%,12.5%,14.3%,,,0.0%,,,25.0%,0.0%,20.0%,0.0%,0.0%,15.4%,92.9,1.8,,,0.0,,,25.0,-20.0,-15.4,93.3%,6.7%,46.7%,,,33.3%,,,26.7%,33.3%,66.7%,33.3%,13.3%,
ALS,Art,ART,ART 105,Medieval Art,Upper,3,1,29,29,,3.4%,3.4%,4.3%,0.0%,0.0%,6.7%,,0.0%,11.1%,,,0.0%,0.0%,0.0%,11.1%,12.5%,0.0%,-4.3,6.7,,0.0,11.1,,,0.0,11.1,12.5,79.3%,20.7%,51.7%,,10.3%,31.0%,,,20.7%,31.0%,69.0%,31.0%,27.6%,
ALS,Art,ART,ART 106,Renaissance Art,Upper,3,1,36,36,0.0%,,16.7%,20.0%,9.1%,13.3%,19.0%,0.0%,50.0%,9.1%,,0.0%,0.0%,10.0%,21.7%,7.7%,0.0%,20.7%,-10.9,5.7,-10.0,40.0,-0.9,,-10.0,-10.0,-14.0,-20.7,69.4%,30.6%,58.3%,2.8%,22.2%,30.6%,,2.8%,8.3%,27.8%,63.9%,36.1%,16.7%,
ALS,Art,ART,ART 107,Baroque+Rococo Art,Upper,3,1,40,40,,2.5%,20.0%,19.4%,22.2%,17.4%,23.5%,0.0%,14.3%,0.0%,,,16.7%,41.7%,27.6%,0.0%,9.1%,25.0%,2.9,6.1,-41.7,-27.4,-41.7,,,-25.0,-27.6,-15.9,77.5%,22.5%,42.5%,2.5%,17.5%,25.0%,,,15.0%,30.0%,72.5%,27.5%,27.5%,
ALS,Art,ART,ART 108,19th Century Art,Upper,3,1,23,23,,4.3%,30.4%,17.6%,66.7%,28.6%,33.3%,100.0%,40.0%,0.0%,,,25.0%,33.3%,35.3%,16.7%,0.0%,36.8%,49.0,4.8,66.7,6.7,-33.3,,,-8.3,-18.6,-36.8,73.9%,26.1%,39.1%,4.3%,21.7%,21.7%,,,17.4%,26.1%,73.9%,26.1%,17.4%,
ALS,Art,ART,ART 109,Modern Art,Upper,3,2,57,29,5.3%,,26.3%,23.3%,29.6%,18.5%,33.3%,75.0%,36.4%,35.3%,,,20.0%,0.0%,16.7%,42.9%,30.8%,25.0%,6.3,14.8,75.0,36.4,35.3,,,20.0,26.2,5.8,52.6%,47.4%,52.6%,7.0%,19.3%,29.8%,,,8.8%,24.6%,63.2%,36.8%,22.8%,
ALS,Art,ART,ART 110,Race in US/Caribbean Art,Upper,3,2,82,41,,1.2%,6.1%,7.1%,3.8%,7.1%,5.0%,14.3%,5.6%,6.3%,,100.0%,0.0%,0.0%,2.4%,10.0%,3.4%,7.8%,-3.3,-2.1,14.3,5.6,6.3,,100.0,0.0,7.6,-4.4,68.3%,31.7%,48.8%,8.5%,22.0%,39.0%,,1.2%,4.9%,19.5%,51.2%,48.8%,35.4%,
ALS,Art,ART,ART 111,Latin Amer+Latino Art,Upper,3,4,149,37,0.0%,3.3%,4.0%,5.4%,1.8%,3.2%,4.7%,20.0%,5.9%,2.4%,,,0.0%,7.1%,4.9%,3.4%,1.6%,5.8%,-3.6,1.5,12.9,-1.3,-4.7,,,-7.1,-1.5,-4.2,62.4%,37.6%,57.7%,3.4%,11.4%,55.7%,,,4.0%,18.8%,40.9%,59.1%,41.6%,
ALS,Art,ART,ART 112,Contemporary Art,Upper,3,2,44,22,,6.8%,6.8%,7.9%,0.0%,5.3%,8.0%,,14.3%,0.0%,,,0.0%,11.8%,9.7%,0.0%,0.0%,9.4%,-7.9,2.7,,2.5,-11.8,,,-11.8,-9.7,-9.4,86.4%,13.6%,56.8%,,15.9%,29.5%,,,6.8%,38.6%,70.5%,29.5%,25.0%,
ALS,Art,ART,ART 116,Topics Modern & Contemp Art,Upper,3,2,32,16,0.0%,,15.6%,16.7%,12.5%,13.3%,17.6%,0.0%,33.3%,9.1%,,,0.0%,22.2%,21.1%,7.7%,0.0%,21.7%,-4.2,4.3,-22.2,11.1,-13.1,,,-22.2,-13.4,-21.7,75.0%,25.0%,53.1%,6.3%,18.8%,34.4%,,,6.3%,28.1%,59.4%,40.6%,28.1%,
ALS,Art,ART,ART 117A,Art India+Southeast Asia,Upper,3,2,65,33,0.0%,,10.8%,11.6%,9.1%,6.5%,14.7%,0.0%,15.8%,8.3%,,0.0%,0.0%,10.0%,11.8%,7.1%,6.3%,7.0%,-2.5,8.3,-10.0,5.8,-1.7,,-10.0,-10.0,-4.6,-0.7,66.2%,33.8%,52.3%,1.5%,29.2%,18.5%,,1.5%,12.3%,30.8%,78.5%,21.5%,24.6%,
ALS,Art,ART,ART 117B,Art Of China+Japan,Upper,3,2,70,35,,0.0%,8.6%,8.6%,8.8%,9.8%,6.9%,100.0%,17.4%,6.3%,0.0%,,0.0%,0.0%,7.7%,11.1%,4.8%,10.9%,0.3,-2.9,100.0,17.4,6.3,0.0,,0.0,3.4,-6.1,50.0%,48.6%,41.4%,1.4%,32.9%,22.9%,1.4%,,5.7%,21.4%,74.3%,25.7%,30.0%,
ALS,Art,ART,ART 117C,Art of Korea,Upper,3,1,20,20,,0.0%,25.0%,23.5%,0.0%,12.5%,33.3%,,25.0%,50.0%,,,0.0%,20.0%,18.8%,50.0%,66.7%,17.6%,-23.5,20.8,,5.0,30.0,,,-20.0,31.3,49.0,85.0%,10.0%,60.0%,,40.0%,20.0%,,,15.0%,25.0%,80.0%,20.0%,15.0%,
ALS,Art,ART,ART 118C,Public Art in Americas,Upper,3,1,35,35,0.0%,,2.9%,0.0%,9.1%,6.7%,0.0%,0.0%,0.0%,4.3%,,0.0%,0.0%,0.0%,0.0%,3.8%,0.0%,4.8%,9.1,-6.7,0.0,0.0,4.3,,0.0,0.0,3.8,-4.8,68.6%,31.4%,57.1%,2.9%,11.4%,65.7%,,5.7%,5.7%,8.6%,25.7%,74.3%,40.0%,
ALS,Art,ART,ART 119,Direct Research Art Hist,Upper,3,2,3,2,,,0.0%,0.0%,,0.0%,,,,0.0%,,,,0.0%,0.0%,0.0%,,0.0%,,,,,0.0,,,,0.0,,100.0%,,,,,33.3%,,,,66.7%,66.7%,33.3%,,
ALS,Art,ART,ART 120,Advanced Drawing,Upper,3,4,112,28,,,5.4%,7.0%,2.4%,2.4%,7.0%,0.0%,6.7%,3.2%,,,20.0%,0.0%,6.6%,2.8%,6.7%,5.3%,-4.6,4.6,0.0,6.7,3.2,,,20.0,-3.8,1.4,63.4%,36.6%,63.4%,4.5%,26.8%,27.7%,,,8.9%,25.9%,67.9%,32.1%,26.8%,
ALS,Art,ART,ART 121,BFA Junior Studio,Upper,3,4,67,17,0.0%,3.7%,3.0%,2.1%,5.0%,6.3%,0.0%,25.0%,0.0%,4.3%,,,0.0%,0.0%,0.0%,7.4%,0.0%,3.9%,2.9,-6.3,25.0,0.0,4.3,,,0.0,7.4,-3.9,70.1%,29.9%,52.2%,6.0%,11.9%,34.3%,,,6.0%,35.8%,59.7%,40.3%,22.4%,
ALS,Art,ART,ART 122A,Intermediate Painting,Upper,3,4,73,18,,,5.5%,7.5%,0.0%,12.5%,2.0%,0.0%,28.6%,0.0%,,,0.0%,0.0%,8.2%,0.0%,5.6%,3.8%,-7.5,-10.5,0.0,28.6,0.0,,,0.0,-8.2,1.8,72.6%,27.4%,67.1%,2.7%,19.2%,30.1%,,,9.6%,35.6%,67.1%,32.9%,24.7%,
ALS,Art,ART,ART 122B,Advanced Painting,Upper,3,4,55,14,,,5.5%,8.1%,0.0%,9.5%,2.9%,0.0%,0.0%,5.6%,,,0.0%,6.3%,5.6%,5.3%,0.0%,7.5%,-8.1,-6.6,-6.3,-6.3,-0.7,,,-6.3,-0.3,-7.5,67.3%,32.7%,61.8%,1.8%,18.2%,32.7%,,,7.3%,29.1%,65.5%,34.5%,21.8%,
ALS,Art,ART,ART 123,Figure Drawing,Upper,3,4,71,18,,,5.6%,7.5%,3.2%,7.7%,4.4%,0.0%,0.0%,0.0%,,,28.6%,10.5%,8.0%,0.0%,5.6%,5.8%,-4.3,-3.2,-10.5,-10.5,-10.5,,,18.0,-8.0,-0.2,56.3%,43.7%,63.4%,2.8%,22.5%,26.8%,,,9.9%,26.8%,70.4%,29.6%,25.4%,
ALS,Art,ART,ART 125A,Life Painting,Upper,3,4,64,16,,,10.9%,18.9%,0.0%,10.0%,11.4%,0.0%,0.0%,12.0%,,0.0%,0.0%,23.1%,11.4%,10.3%,0.0%,15.2%,-18.9,1.4,-23.1,-23.1,-11.1,,-23.1,-23.1,-1.1,-15.2,57.8%,42.2%,68.8%,4.7%,17.2%,39.1%,,1.6%,9.4%,20.3%,54.7%,45.3%,26.6%,
ALS,Art,ART,ART 127,Collage and Assemblage,Upper,3,2,32,16,,,3.1%,4.0%,0.0%,7.7%,0.0%,0.0%,10.0%,0.0%,,,0.0%,0.0%,4.2%,0.0%,0.0%,4.8%,-4.0,-7.7,0.0,10.0,0.0,,,0.0,-4.2,-4.8,78.1%,21.9%,59.4%,3.1%,31.3%,21.9%,,,6.3%,28.1%,75.0%,25.0%,34.4%,
ALS,Art,ART,ART 129,Painting Drawing Studio,Upper,3,2,8,4,,,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,,0.0,,,,0.0,0.0,75.0%,25.0%,50.0%,,,25.0%,,,,75.0%,75.0%,25.0%,25.0%,
ALS,Art,ART,ART 130,Theories in Art Education,Upper,3,2,37,19,,0.0%,5.4%,3.1%,20.0%,11.8%,0.0%,0.0%,25.0%,0.0%,,,0.0%,0.0%,9.1%,0.0%,0.0%,7.4%,16.9,-11.8,0.0,25.0,0.0,,,0.0,-9.1,-7.4,86.5%,13.5%,54.1%,5.4%,10.8%,35.1%,,,5.4%,37.8%,59.5%,40.5%,21.6%,
ALS,Art,ART,ART 133,Art Education for Children,Upper,3,4,448,112,2.0%,5.6%,10.9%,10.8%,12.2%,8.6%,13.2%,35.0%,13.5%,11.9%,,0.0%,14.8%,5.0%,8.5%,14.0%,15.1%,8.6%,1.4,4.5,30.0,8.5,6.9,,-5.0,9.9,5.5,6.4,90.8%,9.2%,50.9%,4.5%,11.6%,39.5%,,0.7%,6.0%,31.5%,55.4%,44.6%,37.1%,
ALS,Art,ART,ART 135,Overview of Secondary Art Edu,Upper,3,2,32,16,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,84.4%,15.6%,68.8%,3.1%,9.4%,31.3%,,,12.5%,43.8%,65.6%,34.4%,28.1%,
ALS,Art,ART,ART 137,Art For Exceptional Child,Upper,3,1,23,23,0.0%,,4.3%,4.8%,0.0%,0.0%,5.9%,0.0%,0.0%,11.1%,,,,0.0%,0.0%,10.0%,10.0%,0.0%,-4.8,5.9,0.0,0.0,11.1,,,,10.0,10.0,91.3%,8.7%,73.9%,4.3%,21.7%,39.1%,,,,34.8%,56.5%,43.5%,43.5%,
ALS,Art,ART,ART 140,Intermediate Printmaking,Upper,3,4,35,9,,,2.9%,0.0%,7.7%,0.0%,4.8%,0.0%,0.0%,0.0%,,,0.0%,7.1%,4.3%,0.0%,12.5%,0.0%,7.7,4.8,-7.1,-7.1,-7.1,,,-7.1,-4.3,12.5,62.9%,37.1%,60.0%,5.7%,14.3%,28.6%,,,8.6%,40.0%,65.7%,34.3%,22.9%,
ALS,Art,ART,ART 142/CSC 126,3D Computer Modeling,Upper,3,2,80,40,,,10.0%,6.3%,12.5%,12.9%,8.2%,33.3%,13.3%,4.2%,,,9.1%,13.6%,11.3%,7.4%,15.4%,7.9%,6.3,-4.7,19.7,-0.3,-9.5,,,-4.5,-3.9,7.4,40.0%,60.0%,61.3%,3.8%,18.8%,30.0%,,,13.8%,27.5%,66.3%,33.8%,16.3%,
ALS,Art,ART,ART 143/CSC 127,3D Computer Animation,Upper,3,2,31,16,,,9.7%,25.0%,0.0%,28.6%,4.2%,0.0%,25.0%,10.0%,,,0.0%,12.5%,10.0%,9.1%,0.0%,11.1%,-25.0,-24.4,-12.5,12.5,-2.5,,,-12.5,-0.9,-11.1,38.7%,61.3%,77.4%,3.2%,12.9%,32.3%,,,19.4%,25.8%,64.5%,35.5%,6.5%,
ALS,Art,ART,ART 145,Advanced Printmaking,Upper,3,2,11,6,,,9.1%,11.1%,0.0%,0.0%,12.5%,,0.0%,0.0%,,,,16.7%,14.3%,0.0%,0.0%,14.3%,-11.1,12.5,,-16.7,-16.7,,,,-14.3,-14.3,81.8%,18.2%,72.7%,,9.1%,36.4%,,,,54.5%,63.6%,36.4%,36.4%,
ALS,Art,ART,ART 146,Creative Coding,Upper,3,2,36,18,0.0%,,8.3%,10.0%,6.3%,16.7%,4.2%,0.0%,0.0%,7.1%,,,0.0%,14.3%,10.5%,5.9%,10.0%,9.5%,-3.8,-12.5,-14.3,-14.3,-7.1,,,-14.3,-4.6,0.5,55.6%,44.4%,66.7%,8.3%,13.9%,38.9%,,,8.3%,19.4%,52.8%,47.2%,27.8%,
ALS,Art,ART,ART 147/COMS 157,Video Art,Upper,3,4,93,23,4.2%,2.2%,5.4%,2.5%,7.5%,8.7%,2.1%,11.1%,20.0%,0.0%,0.0%,50.0%,0.0%,0.0%,6.1%,4.5%,6.9%,4.9%,5.0,-6.6,11.1,20.0,0.0,0.0,50.0,0.0,-1.6,2.0,43.0%,57.0%,50.5%,9.7%,16.1%,34.4%,1.1%,2.2%,6.5%,24.7%,52.7%,47.3%,31.2%,
ALS,Art,ART,ART 148,Barrio Art For Ethnic Grp,Upper,3,1,13,13,,,15.4%,20.0%,0.0%,0.0%,25.0%,0.0%,0.0%,28.6%,,,0.0%,0.0%,0.0%,25.0%,16.7%,14.3%,-20.0,25.0,0.0,0.0,28.6,,,0.0,25.0,2.4,76.9%,23.1%,61.5%,7.7%,15.4%,53.8%,,,7.7%,7.7%,38.5%,61.5%,46.2%,
ALS,Art,ART,ART 149,Graphic Printmakng Studio,Upper,3,3,16,5,,,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,81.3%,18.8%,62.5%,,6.3%,31.3%,,,6.3%,56.3%,68.8%,31.3%,31.3%,
ALS,Art,ART,ART 150,Adv Ceramics,Upper,3,4,53,13,,,9.4%,7.0%,20.0%,12.9%,4.5%,,0.0%,11.1%,,,0.0%,15.0%,8.6%,11.1%,7.1%,11.4%,13.0,-8.4,,-15.0,-3.9,,,-15.0,2.5,-4.3,81.1%,18.9%,41.5%,,18.9%,34.0%,,,3.8%,37.7%,66.0%,34.0%,26.4%,
ALS,Art,ART,ART 153,Handbuilt Ceramic Techniq,Upper,3,4,36,9,,,5.6%,4.0%,9.1%,13.3%,0.0%,,0.0%,9.1%,,,0.0%,5.6%,4.0%,9.1%,6.7%,4.8%,5.1,-13.3,,-5.6,3.5,,,-5.6,5.1,1.9,69.4%,30.6%,58.3%,,11.1%,30.6%,,,2.8%,50.0%,69.4%,30.6%,41.7%,
ALS,Art,ART,ART 159,Ceramics Studio,Upper,3,2,2,1,,,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,,0.0,,,,0.0,0.0,50.0%,50.0%,50.0%,,,50.0%,,,,50.0%,50.0%,50.0%,50.0%,
ALS,Art,ART,ART 160,Special Topics in Art Studio,Upper,3,2,32,16,0.0%,0.0%,3.1%,4.2%,0.0%,0.0%,5.0%,0.0%,0.0%,0.0%,,,20.0%,0.0%,4.8%,0.0%,0.0%,4.0%,-4.2,5.0,0.0,0.0,0.0,,,20.0,-4.8,-4.0,75.0%,25.0%,62.5%,6.3%,9.4%,28.1%,,,15.6%,34.4%,65.6%,34.4%,18.8%,
